inverter_id,median_efficiency,mean_efficiency,std_efficiency,outage_rate,max_ac_power,cluster,health_status
1,96.6321792602539,84.1234130859375,27.35639762878418,7.384051924653134e-06,30.09600067138672,0,Critical (Sensor/Falla)
2,97.13813781738281,83.21943664550781,30.90047264099121,7.90360760168979e-06,30.08799934387207,0,Critical (Sensor/Falla)
3,97.49658966064453,90.14942169189453,20.82501983642578,1.4677229379410048e-05,30.091999053955078,2,Sub-óptimo (Pérdidas/Estrés)
4,97.53172302246094,85.12677001953125,30.380882263183594,7.984446298610307e-06,103.70999908447266,0,Critical (Sensor/Falla)
5,97.17115020751953,88.55439758300781,24.49140167236328,0.0,30.084999084472656,0,Critical (Sensor/Falla)
6,97.08839416503906,80.973388671875,32.667205810546875,8.021175904387583e-06,30.086000442504883,0,Critical (Sensor/Falla)
7,97.95521545410156,81.31841278076172,34.459842681884766,8.304371836553354e-06,105.34100341796875,0,Critical (Sensor/Falla)
8,96.69293212890625,87.75569152832031,24.082483291625977,1.123860686229335e-05,30.089000701904297,0,Critical (Sensor/Falla)
9,97.92906951904297,92.43482971191406,17.389421463012695,7.239819004524887e-06,30.089000701904297,1,Óptimo (Saludable)
10,98.09037780761719,90.35103607177734,22.350120544433594,3.702154283577614e-06,30.08799934387207,1,Óptimo (Saludable)
11,97.8078384399414,93.84490203857422,13.915987968444824,7.193752944942612e-06,30.089000701904297,1,Óptimo (Saludable)
12,97.93978881835938,93.18103790283203,15.353866577148438,7.1942446043165465e-06,30.089000701904297,1,Óptimo (Saludable)
13,97.28694915771484,90.21687316894531,18.792905807495117,1.78522334929323e-05,30.08799934387207,2,Sub-óptimo (Pérdidas/Estrés)
14,98.32807159423828,90.78748321533203,22.42338752746582,1.1172809849949164e-05,30.090999603271484,1,Óptimo (Saludable)
15,97.69792175292969,91.63060760498047,18.389184951782227,7.286186846975504e-06,30.086000442504883,1,Óptimo (Saludable)
16,97.60677337646484,90.18142700195312,21.768648147583008,3.7137997370629787e-06,30.086000442504883,1,Óptimo (Saludable)
17,97.51789093017578,86.73072052001953,27.330894470214844,7.687724625703907e-06,30.08799934387207,0,Critical (Sensor/Falla)
18,97.65005493164062,92.07510375976562,17.181636810302734,2.540078815016946e-05,30.086000442504883,2,Sub-óptimo (Pérdidas/Estrés)
19,97.56111145019531,91.68241119384766,17.735116958618164,1.0910677916787897e-05,30.09600067138672,1,Óptimo (Saludable)
20,97.64415740966797,92.96771240234375,13.96493911743164,1.4148774362420856e-05,30.094999313354492,1,Óptimo (Saludable)
21,96.99311065673828,88.31979370117188,24.51494789123535,2.624809701296656e-05,30.082000732421875,2,Sub-óptimo (Pérdidas/Estrés)
22,98.33136749267578,94.66206359863281,13.800942420959473,3.609131101687269e-06,30.093000411987305,1,Óptimo (Saludable)
23,97.62857818603516,88.42186737060547,25.015960693359375,0.0,30.106000900268555,0,Critical (Sensor/Falla)
24,97.93556213378906,87.59507751464844,27.266382217407227,0.0,30.089000701904297,0,Critical (Sensor/Falla)
